player_name,team,role,match_date,opponent,venue,fantasy_points
Vansh Bedi,CHE,WK,2023-05-13,KKR,Punjab Cricket Association Stadium,9.43000694635846
Vansh Bedi,CHE,WK,2024-05-20,CSK,M. Chinnaswamy Stadium,29.361334937658807
Vansh Bedi,CHE,WK,2023-04-28,SRH,Wankhede Stadium,28.17115503701909
Vansh Bedi,CHE,WK,2023-04-07,DC,Rajiv Gandhi International Stadium,31.005634241457074
Vansh Bedi,CHE,WK,2023-04-05,SRH,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,35.28660361779895
Vansh Bedi,CHE,WK,2023-05-18,RCB,Wankhede Stadium,21.382676043714532
Vansh Bedi,CHE,WK,2024-05-10,KKR,Sawai Mansingh Stadium,21.34660247603621
Vansh Bedi,CHE,WK,2024-05-13,RCB,M. Chinnaswamy Stadium,27.126096091659413
Vansh Bedi,CHE,WK,2023-04-01,DC,Punjab Cricket Association Stadium,9.392141532930218
Vansh Bedi,CHE,WK,2024-05-16,DC,Punjab Cricket Association Stadium,25.931780006424678
Vansh Bedi,CHE,WK,2024-05-03,SRH,Eden Gardens,19.009265079803857
Vansh Bedi,CHE,WK,2023-04-22,MI,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,35.360420916965985
Vansh Bedi,CHE,WK,2024-03-05,PBKS,Rajiv Gandhi International Stadium,10.925963533796134
Vansh Bedi,CHE,WK,2024-05-27,LSG,Arun Jaitley Stadium,12.834357897590223
Vansh Bedi,CHE,WK,2024-05-04,MI,Sawai Mansingh Stadium,19.863175945163267
Vansh Bedi,CHE,WK,2024-04-10,KKR,Wankhede Stadium,10.167274361466099
Vansh Bedi,CHE,WK,2024-05-01,PBKS,M. A. Chidambaram Stadium,28.855306000608095
Vansh Bedi,CHE,WK,2023-04-09,RCB,Wankhede Stadium,27.79616846985833
Vansh Bedi,CHE,WK,2024-04-16,RCB,Sawai Mansingh Stadium,16.22939467500774
Vansh Bedi,CHE,WK,2023-05-07,LSG,M. A. Chidambaram Stadium,32.304746926490516
Andre Siddharth,CHE,BAT,2024-04-20,GT,Arun Jaitley Stadium,36.8301998425821
Andre Siddharth,CHE,BAT,2024-03-21,GT,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,16.662863716178965
Andre Siddharth,CHE,BAT,2023-05-14,RR,M. Chinnaswamy Stadium,32.45747813647279
Andre Siddharth,CHE,BAT,2023-04-13,SRH,Rajiv Gandhi International Stadium,34.579656317931374
Andre Siddharth,CHE,BAT,2024-03-29,LSG,Eden Gardens,19.33177442988328
Andre Siddharth,CHE,BAT,2024-03-10,KKR,Rajiv Gandhi International Stadium,35.59619984566426
Andre Siddharth,CHE,BAT,2023-04-22,DC,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,35.89078583350809
Andre Siddharth,CHE,BAT,2023-05-10,RCB,Eden Gardens,4.272572343631466
Andre Siddharth,CHE,BAT,2024-04-14,MI,M. Chinnaswamy Stadium,17.516266899162915
Andre Siddharth,CHE,BAT,2024-05-14,LSG,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,43.55766131962488
Andre Siddharth,CHE,BAT,2023-04-13,KKR,Narendra Modi Stadium,33.31963645084614
Andre Siddharth,CHE,BAT,2023-05-16,LSG,Narendra Modi Stadium,26.351820478752046
Andre Siddharth,CHE,BAT,2024-04-13,LSG,Wankhede Stadium,18.778830445446793
Andre Siddharth,CHE,BAT,2023-05-12,LSG,Sawai Mansingh Stadium,30.655542704573037
Andre Siddharth,CHE,BAT,2024-04-17,LSG,Eden Gardens,28.767917978701245
Andre Siddharth,CHE,BAT,2024-04-15,SRH,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,31.060128839887973
Andre Siddharth,CHE,BAT,2024-05-14,DC,Wankhede Stadium,29.0978204744412
Andre Siddharth,CHE,BAT,2024-03-17,MI,Arun Jaitley Stadium,39.8511826441636
Andre Siddharth,CHE,BAT,2024-04-15,MI,M. A. Chidambaram Stadium,6.635087670225741
Andre Siddharth,CHE,BAT,2023-05-15,RR,Wankhede Stadium,27.528142787814307
Andre Siddharth,CHE,BAT,2024-03-30,PBKS,Punjab Cricket Association Stadium,38.88267476806394
Ramakrishna Ghosh,CHE,AR,2024-04-04,RR,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,26.74498287761133
Ramakrishna Ghosh,CHE,AR,2024-03-06,DC,M. A. Chidambaram Stadium,39.92743954564086
Ramakrishna Ghosh,CHE,AR,2023-05-13,DC,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,35.25159877281492
Ramakrishna Ghosh,CHE,AR,2024-04-14,MI,Sawai Mansingh Stadium,36.22109941167114
Ramakrishna Ghosh,CHE,AR,2024-05-02,MI,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,23.583009352722854
