player_name,team,role,matches,innings,runs,batting_average,strike_rate,wickets,economy_rate,bowling_average,batting_consistency,batting_impact,bowling_impact,all_rounder_rating,estimated_fantasy_points,cost
CH Gayle,Royal Challengers Bangalore,AR,141.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.107582137717383
Mandeep Singh,Royal Challengers Bangalore,AR,111.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.503840091373743
TM Head,Royal Challengers Bangalore,Unknown,27.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.898723416564929
KM Jadhav,Royal Challengers Bangalore,Unknown,95.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.398053765781047
SR Watson,Royal Challengers Bangalore,Unknown,145.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.605118559664346
Sachin Baby,Royal Challengers Bangalore,Unknown,19.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.569161989647709
STR Binny,Royal Challengers Bangalore,Unknown,95.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.807388017879147
S Aravind,Royal Challengers Bangalore,Unknown,38.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.403197788228724
TS Mills,Royal Challengers Bangalore,Unknown,10.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.835796474612048
YS Chahal,Royal Challengers Bangalore,Unknown,161.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.450217446615182
A Choudhary,Royal Challengers Bangalore,Unknown,5.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.13976637139948
DA Warner,Sunrisers Hyderabad,Unknown,184.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.837721457704825
S Dhawan,Sunrisers Hyderabad,Unknown,222.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.422582064177982
MC Henriques,Sunrisers Hyderabad,Unknown,62.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.161903521872745
Yuvraj Singh,Sunrisers Hyderabad,Unknown,132.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.566723120319065
DJ Hooda,Sunrisers Hyderabad,Unknown,119.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.99551686056491
BCJ Cutting,Sunrisers Hyderabad,Unknown,21.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.17584623765649
NV Ojha,Sunrisers Hyderabad,Unknown,113.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.294549630178
Bipul Sharma,Sunrisers Hyderabad,Unknown,33.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.565712389180126
B Kumar,Sunrisers Hyderabad,Unknown,176.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.651365027528154
A Nehra,Sunrisers Hyderabad,Unknown,88.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.722168490041415
Rashid Khan,Sunrisers Hyderabad,Unknown,122.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.766680172840523
PA Patel,Mumbai Indians,Unknown,139.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.469780584685852
JC Buttler,Mumbai Indians,Unknown,108.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.620023276844579
RG Sharma,Mumbai Indians,Unknown,258.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.203622776028032
N Rana,Mumbai Indians,Unknown,109.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.932978478677516
AT Rayudu,Mumbai Indians,Unknown,204.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.785580706903037
KH Pandya,Mumbai Indians,Unknown,128.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.05822527550814
KA Pollard,Mumbai Indians,Unknown,189.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.328081377926267
HH Pandya,Mumbai Indians,Unknown,137.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.010614675559514
TG Southee,Mumbai Indians,Unknown,54.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.009059233634506
MJ McClenaghan,Mumbai Indians,Unknown,56.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.482327525829533
JJ Bumrah,Mumbai Indians,Unknown,133.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.843616269209816
AM Rahane,Rising Pune Supergiant,Unknown,187.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.242031495612366
MA Agarwal,Rising Pune Supergiant,Unknown,126.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.059866193035946
SPD Smith,Rising Pune Supergiant,Unknown,103.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.61957696878489
BA Stokes,Rising Pune Supergiant,Unknown,45.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.843668663190574
MS Dhoni,Rising Pune Supergiant,Unknown,264.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.827891095484048
MK Tiwary,Rising Pune Supergiant,Unknown,98.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.064107489332958
R Bhatia,Rising Pune Supergiant,Unknown,95.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.991087372366321
DL Chahar,Rising Pune Supergiant,Unknown,82.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.48818660422466
A Zampa,Rising Pune Supergiant,Unknown,22.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.522587513697419
AB Dinda,Rising Pune Supergiant,Unknown,78.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.28927382471427
Imran Tahir,Rising Pune Supergiant,Unknown,59.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.194431054189318
JJ Roy,Gujarat Lions,Unknown,21.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.59957893208156
BB McCullum,Gujarat Lions,Unknown,109.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.863845905922714
SK Raina,Gujarat Lions,Unknown,204.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.41411010793043
