Batsman,Runs,fantasy_points,4s,6s,Balls,SR,recent_form
AB de Villiers,13868,15937,1239,415,13545,102.38464377999262,13868
Aakash Chopra,53,60,7,0,71,74.64788732394366,53
Aamer Yamin,47,55,4,2,33,142.42424242424244,47
Aaron Ayre,0,0,0,0,1,0.0,0
Aaron Finch,12047,14001,1186,384,11257,107.0178555565426,12047
Aaron Hardie,74,81,5,1,76,97.36842105263158,74
Aaron Heal,1,1,0,0,3,33.33333333333333,1
Aaron O'Brien,68,75,3,2,68,100.0,68
Aaron Phangiso,84,89,5,0,150,56.00000000000001,84
Aaron Redmond,262,304,36,3,473,55.391120507399584,262
Abdool Samad,42,49,5,1,55,76.36363636363637,42
Abdul Razzaq,933,1077,80,32,1035,90.14492753623189,933
Abdul Samad,111,131,8,6,65,170.76923076923077,111
Abdullah Shafique,0,0,0,0,4,0.0,0
Abdur Razzak,198,223,17,4,277,71.48014440433214,198
Abdur Rehman,101,114,9,2,243,41.56378600823045,101
Abhimanyu Mithun,203,235,22,5,322,63.04347826086957,203
Abhinav Mukund,319,353,32,1,692,46.09826589595375,319
Abhishek Jhunjhunwala,217,246,19,5,210,103.33333333333334,217
Abhishek Nayar,671,766,55,20,581,115.49053356282273,671
Abhishek Raut,194,221,13,7,167,116.1676646706587,194
Abhishek Sharma,143,169,10,8,98,145.91836734693877,143
Abid Ali,193,212,19,0,365,52.87671232876713,193
Abu Jayed,22,24,2,0,60,36.666666666666664,22
Abu Nechim,36,42,4,1,26,138.46153846153845,36
Adam Crosthwaite,60,70,6,2,60,100.0,60
Adam Gilchrist,2597,3103,306,100,2066,125.70183930300097,2597
Adam Lyth,265,307,40,1,529,50.0945179584121,265
Adam Milne,76,84,4,2,85,89.41176470588236,76
Adam Voges,2701,3011,258,26,3305,81.72465960665659,2701
Adam Zampa,293,324,23,4,391,74.93606138107417,293
Adil Rashid,1233,1395,134,14,1931,63.852925945106165,1233
Aditya Dole,34,39,3,1,22,154.54545454545453,34
Aditya Tare,339,401,40,11,273,124.17582417582418,339
Adnan Akmal,168,189,21,0,378,44.44444444444444,168
Adrian Barath,715,813,82,8,1214,58.89621087314663,715
Afsar Zazai,16,16,0,0,55,29.09090909090909,16
Aftab Ahmed,377,428,37,7,495,76.16161616161617,377
Aftab Alam,2,2,0,0,8,25.0,2
Afzaal Haider,0,0,0,0,10,0.0,0
Ahillen Beadle,7,7,0,0,7,100.0,7
Ahmed Raza,0,0,0,0,1,0.0,0
Ahmed Shehzad,1228,1402,146,14,1629,75.38367096378146,1228
Ahsan Malik,1,1,0,0,1,100.0,1
Aiden Blizzard,734,848,76,19,590,124.40677966101694,734
Aiden Markram,1963,2256,259,17,2868,68.44490934449094,1963
Aizaz Cheema,6,6,0,0,24,25.0,6
Aizaz Khan,0,0,0,0,1,0.0,0
Ajantha Mendis,224,251,23,2,474,47.257383966244724,224
Ajaz Patel,32,35,3,0,95,33.68421052631579,32
Ajinkya Rahane,11410,12897,1205,141,15776,72.32505070993915,11410
