Bowler,Wickets,Runs,Overs,Econ,fantasy_points,Maidens,recent_form
AB de Villiers,7,196,31.0,6.32258064516129,175,0,7
Aamer Yamin,3,102,15.0,6.8,75,0,3
Aaron Finch,10,559,80.3,6.961394769613948,250,0,10
Aaron Hardie,7,206,26.0,7.923076923076923,175,0,7
Aaron Heal,3,86,12.0,7.166666666666667,75,0,3
Aaron O'Brien,22,604,85.0,7.105882352941176,550,0,22
Aaron Phangiso,36,894,170.1,5.255731922398589,936,4,36
Aaron Redmond,4,89,13.5,6.592592592592593,108,1,4
Aaron Summers,0,31,3.0,10.333333333333334,0,0,0
Aavishkar Salvi,7,200,25.0,8.0,175,0,7
Abdul Razzaq,38,1516,280.7,5.400783754898469,1074,15,38
Abdul Samad,1,96,7.0,13.714285714285714,25,0,1
Abdur Rauf,2,66,10.0,6.6,50,0,2
Abdur Razzak,50,2015,392.2,5.137684854665987,1366,14,50
Abdur Rehman,39,959,326.5,2.9372128637059722,1555,72,39
Abhimanyu Mithun,18,1094,194.0,5.639175257731959,630,22,18
Abhinav Mukund,0,14,2.0,7.0,0,0,0
Abhishek Jhunjhunwala,1,129,14.1,9.148936170212766,25,0,1
Abhishek Nayar,9,339,41.1,8.248175182481752,225,0,9
Abhishek Raut,0,44,5.0,8.8,0,0,0
Abhishek Sharma,3,112,12.0,9.333333333333334,75,0,3
Abrar Kazi,0,21,2.0,10.5,0,0,0
Abu Hider,1,67,8.0,8.375,25,0,1
Abu Jayed,9,382,94.5,4.042328042328043,357,16,9
Abu Nechim,12,498,57.2,8.706293706293707,308,1,12
Abul Hasan,0,9,1.0,9.0,0,0,0
Adam Gilchrist,1,0,0.1,0.0,29,0,1
Adam Lyth,0,0,1.0,0.0,12,1,0
Adam Milne,36,1345,201.4,6.6782522343594835,916,2,36
Adam Voges,11,363,65.1,5.5760368663594475,295,2,11
Adam Zampa,214,5626,892.3,6.305054353916844,5398,6,214
Adeel Raja,0,21,2.0,10.5,0,0,0
Adil Rashid,278,8722,1692.1,5.154541693753324,7442,61,278
Aditya Dole,5,112,11.0,10.181818181818182,125,0,5
Aftab Ahmed,0,111,20.2,5.4950495049504955,4,0,0
Aftab Alam,3,123,22.0,5.590909090909091,95,2,3
Afzaal Haider,1,72,6.0,12.0,25,0,1
Ahillen Beadle,1,61,8.0,7.625,25,0,1
Ahmed Raza,1,60,12.0,5.0,29,0,1
Ahmed Shehzad,1,54,7.4,7.297297297297297,25,0,1
Ahsan Malik,5,33,7.0,4.714285714285714,129,0,5
Aiden Markram,3,219,46.8,4.67948717948718,103,3,3
Aizaz Cheema,5,275,58.4,4.708904109589041,137,1,5
Aizaz Khan,1,41,8.0,5.125,29,0,1
Ajantha Mendis,123,3415,683.8,4.99415033635566,3439,45,123
Ajaz Patel,15,535,190.1,2.814308258811152,723,43,15
Ajinkya Rahane,1,5,1.0,5.0,29,0,1
Ajit  Chandila,11,203,35.0,5.8,279,0,11
Ajit Agarkar,124,3918,700.2,5.5955441302485,3528,53,124
Ajmal Shahzad,24,650,125.6,5.17515923566879,676,9,24
Akila Dananjaya,75,2001,395.2,5.063259109311741,2031,19,75
Al-Amin Hossain,24,458,72.6,6.308539944903582,640,5,24
Alasdair Evans,3,129,22.0,5.863636363636363,95,2,3
Albie Morkel,99,2998,364.8,8.218201754385964,2499,3,99
Alex Cusack,13,346,70.8,4.887005649717515,353,3,13
Alex Hales,0,2,3.0,0.6666666666666666,12,1,0
Alex Keath,0,27,1.0,27.0,0,0,0
Alfonso Thomas,35,980,132.7,7.385079125847778,891,2,35
Ali Murtaza,9,313,44.0,7.113636363636363,225,0,9
Alister McDermott,23,513,61.3,8.368678629690049,583,1,23
Alok Kapali,0,75,13.0,5.769230769230769,4,0,0
Alviro Petersen,0,14,4.0,3.5,4,0,0
Alzarri Joseph,63,1700,336.7,5.049005049005049,1907,41,63
Ambati Rayudu,3,124,20.1,6.169154228855721,83,1,3
Amila Aponso,11,274,55.5,4.936936936936937,287,1,11
Amir Hamza,2,54,8.0,6.75,50,0,2
Amir Hayat,2,26,4.0,6.5,50,0,2
Amit Mishra,305,8053,1668.1,4.827648222528626,8773,143,305
Amit Singh,28,620,78.1,7.9385403329065305,708,1,28
Amit Uniyal,2,66,6.0,11.0,50,0,2
Amjad Javed,1,117,14.0,8.357142857142858,25,0,1
Amjad Khan,2,34,4.0,8.5,50,0,2
Anand Rajan,8,201,24.5,8.204081632653061,200,0,8
Anaru Kitchen,2,46,6.0,7.666666666666667,50,0,2
Anderson Cummins,1,74,9.0,8.222222222222221,25,0,1
Andile Phehlukwayo,93,2598,443.0,5.864559819413093,2481,19,93
Andre Adams,3,104,15.3,6.7973856209150325,75,0,3
Andre Botha,28,820,176.0,4.659090909090909,816,14,28
Andre Fletcher,0,34,5.4,6.296296296296296,0,0,0
Andre McCarthy,0,12,2.0,6.0,0,0,0
Andre Nel,23,603,164.7,3.66120218579235,795,27,23
Andre Russell,157,4746,623.2,7.61553273427471,3981,7,157
Andrew Ellis,12,392,67.0,5.850746268656716,320,2,12
Andrew Fekete,10,405,39.5,10.253164556962025,250,0,10
Andrew Flintoff,54,1458,355.0,4.107042253521127,1690,42,54
Andrew Hall,11,344,69.9,4.9213161659513585,287,1,11
Andrew Mathieson,1,40,4.0,10.0,25,0,1
Andrew McDonald,16,408,46.0,8.869565217391305,400,0,16
Andrew Symonds,37,1286,256.0,5.0234375,1105,22,37
Andrew Tye,173,3812,478.4,7.9682274247491645,4349,3,173
Andrew White,7,321,62.8,5.111464968152866,195,2,7
Andy Blignaut,3,127,28.0,4.535714285714286,95,2,3
Andy McBrine,8,427,77.0,5.545454545454546,212,1,8
Andy McKay,19,694,135.2,5.133136094674557,551,9,19
Angelo Mathews,137,4850,1042.5,4.652278177458034,4469,130,137
Angelo Perera,0,16,3.0,5.333333333333333,4,0,0
Aniket Choudhary,5,144,16.5,8.727272727272727,141,2,5
Anil Kumble,192,5825,1678.4,3.4705672068636795,6964,270,192
Ankeet Chavan,8,326,41.2,7.912621359223301,200,0,8
Ankit Rajpoot,24,814,88.1,9.23950056753689,608,1,24
Ankit Sharma,12,450,61.1,7.3649754500818325,300,0,12
Ankit Soni,2,144,18.1,7.955801104972375,50,0,2
Anrich Nortje,58,1617,309.3,5.227934044616877,1670,27,58
Anthony Ireland,4,113,20.0,5.65,104,0,4
Anthony Martin,11,239,55.0,4.345454545454546,303,3,11
Anton Devcich,1,151,23.0,6.565217391304348,25,0,1
Anukul Roy,1,11,2.0,5.5,29,0,1
Anureet Singh,18,623,68.0,9.161764705882353,450,0,18
Anwar Ali,7,419,70.0,5.985714285714286,187,1,7
Arafat Sunny,3,134,21.0,6.380952380952381,75,0,3
Arjun Nair,22,583,76.0,7.671052631578948,550,0,22
Arshad Khan,10,221,44.0,5.0227272727272725,270,2,10
Arshdeep Singh,12,327,34.5,9.478260869565217,308,1,12
Asad Ali,1,55,12.0,4.583333333333333,37,1,1
Asad Pathan,0,63,6.3,10.0,0,0,0
Asad Shafiq,0,49,15.0,3.2666666666666666,4,0,0
Asela Gunaratne,4,361,53.5,6.747663551401869,100,0,4
Ashan Priyanjan,2,130,23.1,5.627705627705628,62,1,2
Ashish Nehra,226,5913,882.1,6.7033216188640745,5882,29,226
Ashish Reddy,18,396,43.0,9.209302325581396,450,0,18
Ashley Noffke,3,109,17.0,6.411764705882353,75,0,3
Ashley Nurse,25,1309,212.5,6.16,633,1,25
Ashok Dinda,96,2878,375.8,7.658328898350186,2448,6,96
Ashok Menaria,3,144,18.2,7.912087912087912,75,0,3
Ashton Agar,75,2328,351.6,6.621160409556314,1915,5,75
Ashton Turner,14,262,37.0,7.081081081081081,350,0,14
Ashwell Prince,0,16,3.0,5.333333333333333,4,0,0
