player_name,team,matches,innings,runs,batting_average,strike_rate,role
CH Gayle,Royal Challengers Bangalore,141,0,0,0,0,Unknown
Mandeep Singh,Royal Challengers Bangalore,111,0,0,0,0,Unknown
TM Head,Royal Challengers Bangalore,27,0,0,0,0,Unknown
KM Jadhav,Royal Challengers Bangalore,95,0,0,0,0,Unknown
SR Watson,Royal Challengers Bangalore,145,0,0,0,0,Unknown
Sachin Baby,Royal Challengers Bangalore,19,0,0,0,0,Unknown
STR Binny,Royal Challengers Bangalore,95,0,0,0,0,Unknown
S Aravind,Royal Challengers Bangalore,38,0,0,0,0,Unknown
TS Mills,Royal Challengers Bangalore,10,0,0,0,0,Unknown
YS Chahal,Royal Challengers Bangalore,161,0,0,0,0,Unknown
A Choudhary,Royal Challengers Bangalore,5,0,0,0,0,Unknown
DA Warner,Sunrisers Hyderabad,184,0,0,0,0,Unknown
S Dhawan,Sunrisers Hyderabad,222,0,0,0,0,Unknown
MC Henriques,Sunrisers Hyderabad,62,0,0,0,0,Unknown
Yuvraj Singh,Sunrisers Hyderabad,132,0,0,0,0,Unknown
DJ Hooda,Sunrisers Hyderabad,119,0,0,0,0,Unknown
BCJ Cutting,Sunrisers Hyderabad,21,0,0,0,0,Unknown
NV Ojha,Sunrisers Hyderabad,113,0,0,0,0,Unknown
Bipul Sharma,Sunrisers Hyderabad,33,0,0,0,0,Unknown
B Kumar,Sunrisers Hyderabad,176,0,0,0,0,Unknown
A Nehra,Sunrisers Hyderabad,88,0,0,0,0,Unknown
Rashid Khan,Sunrisers Hyderabad,122,0,0,0,0,Unknown
PA Patel,Mumbai Indians,139,0,0,0,0,Unknown
JC Buttler,Mumbai Indians,108,0,0,0,0,Unknown
RG Sharma,Mumbai Indians,258,0,0,0,0,Unknown
N Rana,Mumbai Indians,109,0,0,0,0,Unknown
AT Rayudu,Mumbai Indians,204,0,0,0,0,Unknown
KH Pandya,Mumbai Indians,128,0,0,0,0,Unknown
KA Pollard,Mumbai Indians,189,0,0,0,0,Unknown
HH Pandya,Mumbai Indians,137,0,0,0,0,Unknown
TG Southee,Mumbai Indians,54,0,0,0,0,Unknown
MJ McClenaghan,Mumbai Indians,56,0,0,0,0,Unknown
JJ Bumrah,Mumbai Indians,133,0,0,0,0,Unknown
AM Rahane,Rising Pune Supergiant,187,0,0,0,0,Unknown
MA Agarwal,Rising Pune Supergiant,126,0,0,0,0,Unknown
SPD Smith,Rising Pune Supergiant,103,0,0,0,0,Unknown
BA Stokes,Rising Pune Supergiant,45,0,0,0,0,Unknown
MS Dhoni,Rising Pune Supergiant,264,0,0,0,0,Unknown
MK Tiwary,Rising Pune Supergiant,98,0,0,0,0,Unknown
R Bhatia,Rising Pune Supergiant,95,0,0,0,0,Unknown
DL Chahar,Rising Pune Supergiant,82,0,0,0,0,Unknown
A Zampa,Rising Pune Supergiant,22,0,0,0,0,Unknown
AB Dinda,Rising Pune Supergiant,78,0,0,0,0,Unknown
Imran Tahir,Rising Pune Supergiant,59,0,0,0,0,Unknown
JJ Roy,Gujarat Lions,21,0,0,0,0,Unknown
BB McCullum,Gujarat Lions,109,0,0,0,0,Unknown
SK Raina,Gujarat Lions,204,0,0,0,0,Unknown
AJ Finch,Gujarat Lions,92,0,0,0,0,Unknown
KD Karthik,Gujarat Lions,257,0,0,0,0,Unknown
DR Smith,Gujarat Lions,91,0,0,0,0,Unknown
MS Gony,Gujarat Lions,44,0,0,0,0,Unknown
P Kumar,Gujarat Lions,119,0,0,0,0,Unknown
SB Jakati,Gujarat Lions,59,0,0,0,0,Unknown
DS Kulkarni,Gujarat Lions,92,0,0,0,0,Unknown
S Kaushik,Gujarat Lions,10,0,0,0,0,Unknown
G Gambhir,Kolkata Knight Riders,154,0,0,0,0,Unknown
CA Lynn,Kolkata Knight Riders,42,0,0,0,0,Unknown
RV Uthappa,Kolkata Knight Riders,205,0,0,0,0,Unknown
MK Pandey,Kolkata Knight Riders,171,0,0,0,0,Unknown
YK Pathan,Kolkata Knight Riders,174,0,0,0,0,Unknown
SA Yadav,Kolkata Knight Riders,151,0,0,0,0,Unknown
CR Woakes,Kolkata Knight Riders,21,0,0,0,0,Unknown
PP Chawla,Kolkata Knight Riders,192,0,0,0,0,Unknown
Kuldeep Yadav,Kolkata Knight Riders,85,0,0,0,0,Unknown
SP Narine,Kolkata Knight Riders,177,0,0,0,0,Unknown
TA Boult,Kolkata Knight Riders,104,0,0,0,0,Unknown
HM Amla,Kings XI Punjab,16,0,0,0,0,Unknown
M Vohra,Kings XI Punjab,56,0,0,0,0,Unknown
WP Saha,Kings XI Punjab,169,0,0,0,0,Unknown
AR Patel,Kings XI Punjab,151,0,0,0,0,Unknown
GJ Maxwell,Kings XI Punjab,135,0,0,0,0,Unknown
DA Miller,Kings XI Punjab,132,0,0,0,0,Unknown
MP Stoinis,Kings XI Punjab,97,0,0,0,0,Unknown
Swapnil Singh,Kings XI Punjab,14,0,0,0,0,Unknown
MM Sharma,Kings XI Punjab,113,0,0,0,0,Unknown
Sandeep Sharma,Kings XI Punjab,128,0,0,0,0,Unknown
T Natarajan,Kings XI Punjab,61,0,0,0,0,Unknown
